EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-03-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : minimum temperature in 0.1 &#176;C
23-27 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, BERLIN-TEMPELHOF (STAID: 2759).
Blended and updated with sources: 111449 127489 128125 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
127489,18760101,  -30,    0
127489,18760102,   23,    0
127489,18760103,  -18,    0
127489,18760104,  -70,    0
127489,18760105, -133,    0
127489,18760106, -123,    0
127489,18760107,  -73,    0
127489,18760108, -103,    0
127489,18760109, -138,    0
127489,18760110, -133,    0
127489,18760111,  -75,    0
127489,18760112,  -63,    0
127489,18760113,  -43,    0
127489,18760114,  -48,    0
127489,18760115,  -43,    0
127489,18760116,  -38,    0
127489,18760117,  -38,    0
127489,18760118,  -15,    0
127489,18760119,   25,    0
127489,18760120,   18,    0
127489,18760121,   18,    0
127489,18760122,   -5,    0
127489,18760123,  -35,    0
127489,18760124,    8,    0
127489,18760125,   15,    0
127489,18760126,   -3,    0
127489,18760127,  -25,    0
127489,18760128,  -28,    0
127489,18760129,  -40,    0
127489,18760130,  -20,    0
127489,18760131,  -23,    0
127489,18760201,  -43,    0
127489,18760202,  -35,    0
127489,18760203,  -10,    0
127489,18760204,   -8,    0
127489,18760205,   -3,    0
127489,18760206,  -25,    0
127489,18760207,  -10,    0
127489,18760208,  -53,    0
127489,18760209,  -40,    0
127489,18760210,  -40,    0
127489,18760211,  -80,    0
127489,18760212,  -33,    0
127489,18760213,  -90,    0
127489,18760214,  -65,    0
127489,18760215,   15,    0
127489,18760216,   35,    0
127489,18760217,   43,    0
127489,18760218,   38,    0
127489,18760219,   63,    0
127489,18760220,   38,    0
127489,18760221,   20,    0
127489,18760222,   38,    0
127489,18760223,   70,    0
127489,18760224,   25,    0
127489,18760225,   15,    0
127489,18760226,    8,    0
127489,18760227,   48,    0
127489,18760228,   60,    0
127489,18760229,   10,    0
127489,18760301,   13,    0
127489,18760302,   50,    0
127489,18760303,   23,    0
127489,18760304,   60,    0
127489,18760305,   48,    0
127489,18760306,   43,    0
127489,18760307,   35,    0
127489,18760308,   25,    0
127489,18760309,   28,    0
127489,18760310,   15,    0
127489,18760311,   40,    0
127489,18760312,   35,    0
127489,18760313,   38,    0
127489,18760314,   18,    0
127489,18760315,   45,    0
127489,18760316,   25,    0
127489,18760317,   10,    0
127489,18760318,    3,    0
127489,18760319,   -3,    0
127489,18760320,   13,    0
127489,18760321,   -3,    0
127489,18760322,   -8,    0
127489,18760323,  -13,    0
127489,18760324,   15,    0
127489,18760325,    3,    0
127489,18760326,  -10,    0
127489,18760327,    8,    0
127489,18760328,   15,    0
127489,18760329,   35,    0
127489,18760330,   65,    0
127489,18760331,   58,    0
127489,18760401,   60,    0
127489,18760402,   83,    0
127489,18760403,   80,    0
127489,18760404,   65,    0
127489,18760405,   35,    0
127489,18760406,   80,    0
127489,18760407,   43,    0
127489,18760408,   50,    0
127489,18760409,   60,    0
127489,18760410,   93,    0
127489,18760411,   58,    0
127489,18760412,   23,    0
127489,18760413,   20,    0
127489,18760414,    3,    0
127489,18760415,   15,    0
127489,18760416,   38,    0
127489,18760417,   55,    0
127489,18760418,   93,    0
127489,18760419,   70,    0
127489,18760420,   93,    0
127489,18760421,  103,    0
